,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"La Casita","Banda MS de Sergio Lizárraga",1256071,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
57,512,Mora,1240893,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
58,"Blinding Lights","The Weeknd",1239581,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
59,"Cabrón y Vago - En Vivo","El Fantasma",1239501,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
60,"Don't Be Shy",Tiësto,1238596,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
61,"Fuentes de Ortiz","Ed Maverick",1227183,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
62,Fulanito,"Becky G",1209605,https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
63,"Ma Vie (feat. Yay)","Kidd Keo",1205355,https://open.spotify.com/track/6UU24wuWgGwuSBAxDH866Z
64,"200 COPAS","KAROL G",1190856,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
65,Ella,"Junior H",1189883,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
66,"Aquí Abajo","Christian Nodal",1185916,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
67,"La Curiosidad","Jay Wheeler",1185052,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
68,"LA CANCIÓN","J Balvin",1182266,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
69,"good 4 u","Olivia Rodrigo",1161531,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
70,Bandido,"Myke Towers",1156497,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
71,"Grandes Ligas","Lupillo Rivera",1143575,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
72,Woman,"Doja Cat",1142271,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
73,"Te Ire A Buscar","Santa Fe Klan",1121574,https://open.spotify.com/track/3elpkpwYlmUbuvmVps08lJ
74,Amnesia,"La Santa Grifa",1115425,https://open.spotify.com/track/3T0DeQvOtdqd7Yo3t2Ig3N
75,"Que Esta Pasando","Fuerza Regida",1108479,https://open.spotify.com/track/26xQbFpVg8JCT5NKQFJXg8
76,"Levitating (feat. DaBaby)","Dua Lipa",1071407,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
77,"El Bélico","El Fantasma",1069730,https://open.spotify.com/track/50pkO56KXHoH53sVPRSbZ3
78,"Me Rehúso","Danny Ocean",1069185,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
79,"A Tu Merced","Bad Bunny",1052030,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
